"funnel_step","funnel_name","platform","age_range","download_date","user_count","ride_count"
"0","downloands","android","18-24","2021-01-02 00:00:00","2","0"
"0","downloands","android","18-24","2021-01-04 00:00:00","3","0"
"0","downloands","android","18-24","2021-01-05 00:00:00","1","0"
"0","downloands","android","18-24","2021-01-06 00:00:00","1","0"
"0","downloands","android","18-24","2021-01-07 00:00:00","1","0"
"0","downloands","android","18-24","2021-01-08 00:00:00","3","0"
"0","downloands","android","18-24","2021-01-09 00:00:00","3","0"
"0","downloands","android","18-24","2021-01-10 00:00:00","2","0"
"0","downloands","android","18-24","2021-01-11 00:00:00","1","0"
"0","downloands","android","18-24","2021-01-12 00:00:00","4","0"
"0","downloands","android","18-24","2021-01-14 00:00:00","2","0"
"0","downloands","android","18-24","2021-01-15 00:00:00","3","0"
"0","downloands","android","18-24","2021-01-16 00:00:00","4","0"
"0","downloands","android","18-24","2021-01-17 00:00:00","1","0"
"0","downloands","android","18-24","2021-01-18 00:00:00","3","0"
"0","downloands","android","18-24","2021-01-19 00:00:00","3","0"
"0","downloands","android","18-24","2021-01-20 00:00:00","4","0"
"0","downloands","android","18-24","2021-01-21 00:00:00","2","0"
"0","downloands","android","18-24","2021-01-22 00:00:00","1","0"
"0","downloands","android","18-24","2021-01-23 00:00:00","2","0"
"0","downloands","android","18-24","2021-01-26 00:00:00","2","0"
"0","downloands","android","18-24","2021-01-28 00:00:00","2","0"
"0","downloands","android","18-24","2021-01-29 00:00:00","3","0"
"0","downloands","android","18-24","2021-01-30 00:00:00","2","0"
"0","downloands","android","18-24","2021-01-31 00:00:00","4","0"
"0","downloands","android","18-24","2021-02-01 00:00:00","1","0"
"0","downloands","android","18-24","2021-02-03 00:00:00","2","0"
"0","downloands","android","18-24","2021-02-04 00:00:00","1","0"
"0","downloands","android","18-24","2021-02-05 00:00:00","1","0"
"0","downloands","android","18-24","2021-02-06 00:00:00","1","0"
"0","downloands","android","18-24","2021-02-07 00:00:00","4","0"
"0","downloands","android","18-24","2021-02-09 00:00:00","1","0"
"0","downloands","android","18-24","2021-02-10 00:00:00","2","0"
"0","downloands","android","18-24","2021-02-12 00:00:00","1","0"
"0","downloands","android","18-24","2021-02-13 00:00:00","3","0"
"0","downloands","android","18-24","2021-02-14 00:00:00","2","0"
"0","downloands","android","18-24","2021-02-15 00:00:00","2","0"
"0","downloands","android","18-24","2021-02-17 00:00:00","2","0"
"0","downloands","android","18-24","2021-02-18 00:00:00","2","0"
"0","downloands","android","18-24","2021-02-19 00:00:00","2","0"
"0","downloands","android","18-24","2021-02-20 00:00:00","3","0"
"0","downloands","android","18-24","2021-02-21 00:00:00","4","0"
"0","downloands","android","18-24","2021-02-22 00:00:00","1","0"
"0","downloands","android","18-24","2021-02-24 00:00:00","1","0"
"0","downloands","android","18-24","2021-02-25 00:00:00","2","0"
"0","downloands","android","18-24","2021-02-26 00:00:00","2","0"
"0","downloands","android","18-24","2021-02-27 00:00:00","3","0"
"0","downloands","android","18-24","2021-02-28 00:00:00","1","0"
"0","downloands","android","18-24","2021-03-01 00:00:00","1","0"
"0","downloands","android","18-24","2021-03-02 00:00:00","2","0"
"0","downloands","android","18-24","2021-03-06 00:00:00","2","0"
"0","downloands","android","18-24","2021-03-07 00:00:00","1","0"
