"funnel","rides","platform","age_group","request_date","revenue"
"ride requested","1","android","18-24","00:00:00","0"
"ride requested","1","android","18-24","00:01:00","0"
"ride requested","2","android","18-24","00:02:00","0"
"ride requested","2","android","18-24","00:03:00","0"
"ride requested","2","android","18-24","00:04:00","0"
"ride requested","1","android","18-24","00:08:00","0"
"ride requested","1","android","18-24","00:10:00","0"
"ride requested","1","android","18-24","00:14:00","0"
"ride requested","2","android","18-24","00:15:00","0"
"ride requested","2","android","18-24","00:16:00","0"
"ride requested","2","android","18-24","00:19:00","0"
"ride requested","1","android","18-24","00:20:00","0"
"ride requested","2","android","18-24","00:21:00","0"
"ride requested","1","android","18-24","00:26:00","0"
"ride requested","2","android","18-24","00:27:00","0"
"ride requested","1","android","18-24","00:29:00","0"
"ride requested","1","android","18-24","00:32:00","0"
"ride requested","1","android","18-24","00:33:00","0"
"ride requested","1","android","18-24","00:35:00","0"
"ride requested","1","android","18-24","00:36:00","0"
"ride requested","1","android","18-24","00:37:00","0"
"ride requested","3","android","18-24","00:38:00","0"
"ride requested","2","android","18-24","00:40:00","0"
"ride requested","3","android","18-24","00:42:00","0"
"ride requested","1","android","18-24","00:44:00","0"
"ride requested","2","android","18-24","00:47:00","0"
"ride requested","2","android","18-24","00:48:00","0"
"ride requested","3","android","18-24","00:49:00","0"
"ride requested","1","android","18-24","00:50:00","0"
"ride requested","2","android","18-24","00:52:00","0"
"ride requested","1","android","18-24","00:53:00","0"
"ride requested","2","android","18-24","00:56:00","0"
"ride requested","1","android","18-24","00:57:00","0"
"ride requested","1","android","18-24","01:01:00","0"
"ride requested","1","android","18-24","01:02:00","0"
"ride requested","1","android","18-24","01:03:00","0"
"ride requested","1","android","18-24","01:05:00","0"
"ride requested","2","android","18-24","01:08:00","0"
"ride requested","2","android","18-24","01:09:00","0"
"ride requested","1","android","18-24","01:10:00","0"
"ride requested","1","android","18-24","01:12:00","0"
"ride requested","2","android","18-24","01:16:00","0"
"ride requested","1","android","18-24","01:17:00","0"
"ride requested","2","android","18-24","01:20:00","0"
"ride requested","1","android","18-24","01:21:00","0"
"ride requested","2","android","18-24","01:22:00","0"
"ride requested","3","android","18-24","01:23:00","0"
"ride requested","1","android","18-24","01:25:00","0"
"ride requested","1","android","18-24","01:26:00","0"
"ride requested","1","android","18-24","01:29:00","0"
"ride requested","2","android","18-24","01:30:00","0"
"ride requested","1","android","18-24","01:31:00","0"
"ride requested","1","android","18-24","01:32:00","0"
"ride requested","2","android","18-24","01:34:00","0"
"ride requested","1","android","18-24","01:37:00","0"
"ride requested","1","android","18-24","01:38:00","0"
"ride requested","1","android","18-24","01:39:00","0"
"ride requested","3","android","18-24","01:40:00","0"
"ride requested","1","android","18-24","01:43:00","0"
"ride requested","2","android","18-24","01:44:00","0"
"ride requested","1","android","18-24","01:45:00","0"
"ride requested","1","android","18-24","01:46:00","0"
"ride requested","2","android","18-24","01:47:00","0"
"ride requested","1","android","18-24","01:48:00","0"
"ride requested","1","android","18-24","01:50:00","0"
"ride requested","3","android","18-24","01:52:00","0"
"ride requested","2","android","18-24","01:53:00","0"
"ride requested","3","android","18-24","01:59:00","0"
"ride requested","1","android","18-24","02:01:00","0"
"ride requested","2","android","18-24","02:03:00","0"
"ride requested","1","android","18-24","02:05:00","0"
"ride requested","1","android","18-24","02:06:00","0"
"ride requested","1","android","18-24","02:07:00","0"
